payroll_id,employee_id,departement,poste,mois,salaire_base,salaire_verse,prime
63,EMP0003,Juridique & Conformité,Analyste,2025-03,7204,7723,519
64,EMP0003,Juridique & Conformité,Analyste,2025-02,7204,7853,649
65,EMP0003,Juridique & Conformité,Analyste,2025-01,7204,7623,419
66,EMP0003,Juridique & Conformité,Analyste,2024-12,7204,7049,-155
67,EMP0003,Juridique & Conformité,Analyste,2024-11,7204,7016,-188
68,EMP0003,Juridique & Conformité,Analyste,2024-10,7204,7920,716
69,EMP0003,Juridique & Conformité,Analyste,2024-09,7204,7348,144
70,EMP0003,Juridique & Conformité,Analyste,2024-08,7204,7794,590
71,EMP0003,Juridique & Conformité,Analyste,2024-07,7204,7381,177
72,EMP0003,Juridique & Conformité,Analyste,2024-06,7204,6941,-263
73,EMP0004,Commercial,Manager,2026-05,16506,16654,148
74,EMP0004,Commercial,Manager,2026-04,16506,16813,307
75,EMP0004,Commercial,Manager,2026-03,16506,16277,-229
76,EMP0004,Commercial,Manager,2026-01,16506,17125,619
77,EMP0004,Commercial,Manager,2026-01,16506,15801,-705
78,EMP0004,Commercial,Manager,2025-12,16506,16377,-129
79,EMP0004,Commercial,Manager,2025-11,16506,17160,654
80,EMP0004,Commercial,Manager,2025-10,16506,17768,1262
81,EMP0004,Commercial,Manager,2025-09,16506,17346,840
82,EMP0004,Commercial,Manager,2025-08,16506,16388,-118
83,EMP0004,Commercial,Manager,2025-07,16506,15701,-805
84,EMP0004,Commercial,Manager,2025-06,16506,15947,-559
85,EMP0004,Commercial,Manager,2025-05,16506,16012,-494
86,EMP0004,Commercial,Manager,2025-04,16506,16336,-170
87,EMP0004,Commercial,Manager,2025-03,16506,16586,80
88,EMP0004,Commercial,Manager,2025-02,16506,16679,173
89,EMP0004,Commercial,Manager,2025-01,16506,15793,-713
90,EMP0004,Commercial,Manager,2024-12,16506,15807,-699
91,EMP0004,Commercial,Manager,2024-11,16506,17072,566
92,EMP0004,Commercial,Manager,2024-10,16506,16578,72
93,EMP0004,Commercial,Manager,2024-09,16506,16395,-111
94,EMP0004,Commercial,Manager,2024-08,16506,16637,131
95,EMP0004,Commercial,Manager,2024-07,16506,16796,290
96,EMP0004,Commercial,Manager,2024-06,16506,17042,536
97,EMP0005,IT & Systèmes,Manager,2026-05,16012,17194,1182
98,EMP0005,IT & Systèmes,Manager,2026-04,16012,16708,696
99,EMP0005,IT & Systèmes,Manager,2026-03,16012,16679,667
100,EMP0005,IT & Systèmes,Manager,2026-01,16012,15520,-492
101,EMP0005,IT & Systèmes,Manager,2026-01,16012,15444,-568
102,EMP0005,IT & Systèmes,Manager,2025-12,16012,16108,96
103,EMP0005,IT & Systèmes,Manager,2025-11,16012,17581,1569
104,EMP0005,IT & Systèmes,Manager,2025-10,16012,16551,539
105,EMP0005,IT & Systèmes,Manager,2025-09,16012,16090,78
106,EMP0005,IT & Systèmes,Manager,2025-08,16012,15558,-454
107,EMP0005,IT & Systèmes,Manager,2025-07,16012,16658,646
108,EMP0005,IT & Systèmes,Manager,2025-06,16012,16175,163
109,EMP0005,IT & Systèmes,Manager,2025-05,16012,15308,-704
110,EMP0005,IT & Systèmes,Manager,2025-04,16012,15305,-707
111,EMP0005,IT & Systèmes,Manager,2025-03,16012,16925,913
112,EMP0005,IT & Systèmes,Manager,2025-02,16012,17142,1130
113,EMP0005,IT & Systèmes,Manager,2025-01,16012,16459,447
114,EMP0005,IT & Systèmes,Manager,2024-12,16012,15569,-443
115,EMP0005,IT & Systèmes,Manager,2024-11,16012,17357,1345
116,EMP0005,IT & Systèmes,Manager,2024-10,16012,15547,-465
117,EMP0005,IT & Systèmes,Manager,2024-09,16012,17448,1436
118,EMP0005,IT & Systèmes,Manager,2024-08,16012,15976,-36
119,EMP0005,IT & Systèmes,Manager,2024-07,16012,16155,143
120,EMP0005,IT & Systèmes,Manager,2024-06,16012,16692,680
121,EMP0006,Commercial,Technicien,2026-05,5914,6366,452
122,EMP0006,Commercial,Technicien,2026-04,5914,6145,231
123,EMP0006,Commercial,Technicien,2026-03,5914,6068,154
124,EMP0006,Commercial,Technicien,2026-01,5914,6070,156
125,EMP0006,Commercial,Technicien,2026-01,5914,6053,139
126,EMP0006,Commercial,Technicien,2025-12,5914,6118,204
127,EMP0006,Commercial,Technicien,2025-11,5914,6040,126
128,EMP0006,Commercial,Technicien,2025-10,5914,5633,-281
129,EMP0006,Commercial,Technicien,2025-09,5914,5912,-2
130,EMP0006,Commercial,Technicien,2025-08,5914,5716,-198
131,EMP0006,Commercial,Technicien,2025-07,5914,5988,74
132,EMP0006,Commercial,Technicien,2025-06,5914,5891,-23
133,EMP0006,Commercial,Technicien,2025-05,5914,6416,502
134,EMP0006,Commercial,Technicien,2025-04,5914,6392,478
135,EMP0006,Commercial,Technicien,2025-03,5914,6177,263
136,EMP0006,Commercial,Technicien,2025-02,5914,6148,234
137,EMP0006,Commercial,Technicien,2025-01,5914,5854,-60
138,EMP0006,Commercial,Technicien,2024-12,5914,6200,286
139,EMP0006,Commercial,Technicien,2024-11,5914,6481,567
140,EMP0006,Commercial,Technicien,2024-10,5914,6131,217
141,EMP0006,Commercial,Technicien,2024-09,5914,5820,-94
142,EMP0006,Commercial,Technicien,2024-08,5914,5664,-250
143,EMP0006,Commercial,Technicien,2024-07,5914,6045,131
144,EMP0006,Commercial,Technicien,2024-06,5914,6083,169
145,EMP0007,Direction Générale,Analyste,2026-05,8143,8617,474
146,EMP0007,Direction Générale,Analyste,2026-04,8143,8682,539
147,EMP0007,Direction Générale,Analyste,2026-03,8143,8200,57
148,EMP0007,Direction Générale,Analyste,2026-01,8143,8739,596
149,EMP0007,Direction Générale,Analyste,2026-01,8143,8032,-111
150,EMP0007,Direction Générale,Analyste,2025-12,8143,8435,292
151,EMP0007,Direction Générale,Analyste,2025-11,8143,8592,449
152,EMP0007,Direction Générale,Analyste,2025-10,8143,7969,-174
153,EMP0007,Direction Générale,Analyste,2025-09,8143,8275,132
154,EMP0007,Direction Générale,Analyste,2025-08,8143,8247,104
155,EMP0007,Direction Générale,Analyste,2025-07,8143,8240,97
156,EMP0007,Direction Générale,Analyste,2025-06,8143,7985,-158
157,EMP0007,Direction Générale,Analyste,2025-05,8143,8349,206
158,EMP0007,Direction Générale,Analyste,2025-04,8143,8483,340
159,EMP0007,Direction Générale,Analyste,2025-03,8143,8312,169
160,EMP0007,Direction Générale,Analyste,2025-02,8143,8772,629
161,EMP0007,Direction Générale,Analyste,2025-01,8143,8624,481
162,EMP0007,Direction Générale,Analyste,2024-12,8143,8598,455
163,EMP0007,Direction Générale,Analyste,2024-11,8143,8369,226
164,EMP0007,Direction Générale,Analyste,2024-10,8143,8421,278
165,EMP0007,Direction Générale,Analyste,2024-09,8143,8955,812
166,EMP0007,Direction Générale,Analyste,2024-08,8143,8320,177
167,EMP0007,Direction Générale,Analyste,2024-07,8143,8196,53
168,EMP0007,Direction Générale,Analyste,2024-06,8143,8904,761
169,EMP0008,Commercial,Analyste,2026-05,7839,7988,149
170,EMP0008,Commercial,Analyste,2026-04,7839,8074,235
171,EMP0008,Commercial,Analyste,2026-03,7839,8089,250
172,EMP0008,Commercial,Analyste,2026-01,7839,8242,403
173,EMP0008,Commercial,Analyste,2026-01,7839,8467,628
174,EMP0008,Commercial,Analyste,2025-12,7839,8248,409
175,EMP0008,Commercial,Analyste,2025-11,7839,8392,553
176,EMP0008,Commercial,Analyste,2025-10,7839,7758,-81
177,EMP0008,Commercial,Analyste,2025-09,7839,8016,177
178,EMP0008,Commercial,Analyste,2025-08,7839,8573,734
179,EMP0008,Commercial,Analyste,2025-07,7839,7775,-64
180,EMP0008,Commercial,Analyste,2025-06,7839,7798,-41
181,EMP0008,Commercial,Analyste,2025-05,7839,8554,715
182,EMP0008,Commercial,Analyste,2025-04,7839,8602,763
183,EMP0008,Commercial,Analyste,2025-03,7839,8354,515
184,EMP0008,Commercial,Analyste,2025-02,7839,8276,437
185,EMP0008,Commercial,Analyste,2025-01,7839,8259,420
186,EMP0008,Commercial,Analyste,2024-12,7839,8022,183
187,EMP0008,Commercial,Analyste,2024-11,7839,8011,172
188,EMP0008,Commercial,Analyste,2024-10,7839,8106,267
189,EMP0008,Commercial,Analyste,2024-09,7839,8546,707
190,EMP0008,Commercial,Analyste,2024-08,7839,8296,457
191,EMP0008,Commercial,Analyste,2024-07,7839,7785,-54
192,EMP0008,Commercial,Analyste,2024-06,7839,8121,282
193,EMP0009,Ressources Humaines,Analyste,2026-05,11467,11828,361
194,EMP0009,Ressources Humaines,Analyste,2026-04,11467,12434,967
195,EMP0009,Ressources Humaines,Analyste,2026-03,11467,11572,105
196,EMP0009,Ressources Humaines,Analyste,2026-01,11467,11487,20
197,EMP0009,Ressources Humaines,Analyste,2026-01,11467,12223,756
198,EMP0009,Ressources Humaines,Analyste,2025-12,11467,11146,-321
199,EMP0009,Ressources Humaines,Analyste,2025-11,11467,10966,-501
200,EMP0009,Ressources Humaines,Analyste,2025-10,11467,12537,1070
201,EMP0009,Ressources Humaines,Analyste,2025-09,11467,11030,-437
202,EMP0009,Ressources Humaines,Analyste,2025-08,11467,12483,1016
203,EMP0009,Ressources Humaines,Analyste,2025-07,11467,12022,555
204,EMP0009,Ressources Humaines,Analyste,2025-06,11467,12179,712
205,EMP0009,Ressources Humaines,Analyste,2025-05,11467,11262,-205
206,EMP0009,Ressources Humaines,Analyste,2025-04,11467,12318,851
207,EMP0009,Ressources Humaines,Analyste,2025-03,11467,11360,-107
208,EMP0009,Ressources Humaines,Analyste,2025-02,11467,11860,393
209,EMP0009,Ressources Humaines,Analyste,2025-01,11467,11361,-106
210,EMP0009,Ressources Humaines,Analyste,2024-12,11467,11082,-385
211,EMP0009,Ressources Humaines,Analyste,2024-11,11467,12168,701
212,EMP0009,Ressources Humaines,Analyste,2024-10,11467,11305,-162
213,EMP0009,Ressources Humaines,Analyste,2024-09,11467,10981,-486
214,EMP0009,Ressources Humaines,Analyste,2024-08,11467,12451,984
215,EMP0009,Ressources Humaines,Analyste,2024-07,11467,11282,-185
216,EMP0009,Ressources Humaines,Analyste,2024-06,11467,11294,-173
217,EMP0010,IT & Systèmes,Manager,2026-05,13424,12955,-469
218,EMP0010,IT & Systèmes,Manager,2026-04,13424,13418,-6
219,EMP0010,IT & Systèmes,Manager,2026-03,13424,13704,280
220,EMP0010,IT & Systèmes,Manager,2026-01,13424,14124,700
221,EMP0010,IT & Systèmes,Manager,2026-01,13424,13030,-394
222,EMP0010,IT & Systèmes,Manager,2025-12,13424,14695,1271
223,EMP0010,IT & Systèmes,Manager,2025-11,13424,14722,1298
224,EMP0010,IT & Systèmes,Manager,2025-10,13424,13071,-353
225,EMP0010,IT & Systèmes,Manager,2025-09,13424,14067,643
226,EMP0010,IT & Systèmes,Manager,2025-08,13424,14526,1102
227,EMP0010,IT & Systèmes,Manager,2025-07,13424,13711,287
228,EMP0010,IT & Systèmes,Manager,2025-06,13424,14063,639
229,EMP0010,IT & Systèmes,Manager,2025-05,13424,14275,851
230,EMP0010,IT & Systèmes,Manager,2025-04,13424,13331,-93
231,EMP0010,IT & Systèmes,Manager,2025-03,13424,13328,-96
232,EMP0010,IT & Systèmes,Manager,2025-02,13424,12872,-552
233,EMP0010,IT & Systèmes,Manager,2025-01,13424,14301,877
234,EMP0010,IT & Systèmes,Manager,2024-12,13424,14066,642
235,EMP0010,IT & Systèmes,Manager,2024-11,13424,13220,-204
236,EMP0010,IT & Systèmes,Manager,2024-10,13424,14240,816
237,EMP0010,IT & Systèmes,Manager,2024-09,13424,14465,1041
238,EMP0010,IT & Systèmes,Manager,2024-08,13424,12828,-596
239,EMP0010,IT & Systèmes,Manager,2024-07,13424,14608,1184
240,EMP0010,IT & Systèmes,Manager,2024-06,13424,13594,170
241,EMP0011,IT & Systèmes,Ingénieur,2026-05,12837,13808,971
242,EMP0011,IT & Systèmes,Ingénieur,2026-04,12837,13993,1156
243,EMP0011,IT & Systèmes,Ingénieur,2026-03,12837,12265,-572
244,EMP0011,IT & Systèmes,Ingénieur,2026-01,12837,13805,968
245,EMP0011,IT & Systèmes,Ingénieur,2026-01,12837,13712,875
246,EMP0011,IT & Systèmes,Ingénieur,2025-12,12837,12554,-283
247,EMP0011,IT & Systèmes,Ingénieur,2025-11,12837,13637,800
248,EMP0011,IT & Systèmes,Ingénieur,2025-10,12837,13875,1038
249,EMP0011,IT & Systèmes,Ingénieur,2025-09,12837,12753,-84
250,EMP0011,IT & Systèmes,Ingénieur,2025-08,12837,12267,-570
251,EMP0011,IT & Systèmes,Ingénieur,2025-07,12837,12770,-67
252,EMP0011,IT & Systèmes,Ingénieur,2025-06,12837,13356,519
253,EMP0011,IT & Systèmes,Ingénieur,2025-05,12837,13983,1146
254,EMP0011,IT & Systèmes,Ingénieur,2025-04,12837,12840,3
255,EMP0011,IT & Systèmes,Ingénieur,2025-03,12837,13070,233
256,EMP0011,IT & Systèmes,Ingénieur,2025-02,12837,13430,593
257,EMP0011,IT & Systèmes,Ingénieur,2025-01,12837,13205,368
258,EMP0011,IT & Systèmes,Ingénieur,2024-12,12837,13907,1070
259,EMP0011,IT & Systèmes,Ingénieur,2024-11,12837,12454,-383
260,EMP0011,IT & Systèmes,Ingénieur,2024-10,12837,13166,329
261,EMP0011,IT & Systèmes,Ingénieur,2024-09,12837,12721,-116
262,EMP0011,IT & Systèmes,Ingénieur,2024-08,12837,13753,916
263,EMP0011,IT & Systèmes,Ingénieur,2024-07,12837,12832,-5
264,EMP0011,IT & Systèmes,Ingénieur,2024-06,12837,13603,766
265,EMP0012,Direction Générale,Analyste,2026-05,10456,10950,494
266,EMP0012,Direction Générale,Analyste,2026-04,10456,11060,604
267,EMP0012,Direction Générale,Analyste,2026-03,10456,9955,-501
268,EMP0012,Direction Générale,Analyste,2026-01,10456,10462,6
269,EMP0012,Direction Générale,Analyste,2026-01,10456,10396,-60
270,EMP0012,Direction Générale,Analyste,2025-12,10456,10991,535
271,EMP0012,Direction Générale,Analyste,2025-11,10456,10236,-220
272,EMP0012,Direction Générale,Analyste,2025-10,10456,10891,435
273,EMP0012,Direction Générale,Analyste,2025-09,10456,10935,479
274,EMP0012,Direction Générale,Analyste,2025-08,10456,10569,113
275,EMP0012,Direction Générale,Analyste,2025-07,10456,10604,148
276,EMP0012,Direction Générale,Analyste,2025-06,10456,10448,-8
277,EMP0012,Direction Générale,Analyste,2025-05,10456,10562,106
278,EMP0012,Direction Générale,Analyste,2025-04,10456,10083,-373
279,EMP0012,Direction Générale,Analyste,2025-03,10456,11473,1017
280,EMP0012,Direction Générale,Analyste,2025-02,10456,10682,226
281,EMP0012,Direction Générale,Analyste,2025-01,10456,11401,945
282,EMP0012,Direction Générale,Analyste,2024-12,10456,9944,-512
283,EMP0012,Direction Générale,Analyste,2024-11,10456,10535,79
284,EMP0012,Direction Générale,Analyste,2024-10,10456,10634,178
285,EMP0012,Direction Générale,Analyste,2024-09,10456,10352,-104
286,EMP0012,Direction Générale,Analyste,2024-08,10456,10450,-6
287,EMP0012,Direction Générale,Analyste,2024-07,10456,10847,391
288,EMP0012,Direction Générale,Analyste,2024-06,10456,10832,376
289,EMP0013,Marketing,Directeur,2026-05,21041,20814,-227
290,EMP0013,Marketing,Directeur,2026-04,21041,21124,83
291,EMP0013,Marketing,Directeur,2026-03,21041,20735,-306
292,EMP0013,Marketing,Directeur,2026-01,21041,22097,1056
293,EMP0013,Marketing,Directeur,2026-01,21041,21458,417
294,EMP0013,Marketing,Directeur,2025-12,21041,20493,-548
295,EMP0013,Marketing,Directeur,2025-11,21041,22154,1113
296,EMP0013,Marketing,Directeur,2025-10,21041,22902,1861
297,EMP0013,Marketing,Directeur,2025-09,21041,22791,1750
298,EMP0013,Marketing,Directeur,2025-08,21041,22419,1378
299,EMP0013,Marketing,Directeur,2025-07,21041,22168,1127
300,EMP0013,Marketing,Directeur,2025-06,21041,22005,964
301,EMP0013,Marketing,Directeur,2025-05,21041,22958,1917
302,EMP0013,Marketing,Directeur,2025-04,21041,21149,108
303,EMP0013,Marketing,Directeur,2025-03,21041,20686,-355
304,EMP0013,Marketing,Directeur,2025-02,21041,23011,1970
305,EMP0013,Marketing,Directeur,2025-01,21041,21498,457
306,EMP0013,Marketing,Directeur,2024-12,21041,21425,384
307,EMP0013,Marketing,Directeur,2024-11,21041,23110,2069
308,EMP0013,Marketing,Directeur,2024-10,21041,21168,127
309,EMP0013,Marketing,Directeur,2024-09,21041,22204,1163
310,EMP0013,Marketing,Directeur,2024-08,21041,22870,1829
311,EMP0013,Marketing,Directeur,2024-07,21041,22379,1338
312,EMP0013,Marketing,Directeur,2024-06,21041,22520,1479
313,EMP0014,Ressources Humaines,Manager,2026-05,12488,13410,922
314,EMP0014,Ressources Humaines,Manager,2026-04,12488,13291,803
315,EMP0014,Ressources Humaines,Manager,2026-03,12488,13138,650
316,EMP0014,Ressources Humaines,Manager,2026-01,12488,12980,492
317,EMP0014,Ressources Humaines,Manager,2026-01,12488,13339,851
318,EMP0014,Ressources Humaines,Manager,2025-12,12488,12848,360
319,EMP0014,Ressources Humaines,Manager,2025-11,12488,12853,365
320,EMP0014,Ressources Humaines,Manager,2025-10,12488,12541,53
321,EMP0014,Ressources Humaines,Manager,2025-09,12488,13582,1094
322,EMP0014,Ressources Humaines,Manager,2025-08,12488,12074,-414
323,EMP0014,Ressources Humaines,Manager,2025-07,12488,13416,928
324,EMP0014,Ressources Humaines,Manager,2025-06,12488,13555,1067
325,EMP0014,Ressources Humaines,Manager,2025-05,12488,12242,-246
326,EMP0014,Ressources Humaines,Manager,2025-04,12488,12869,381
327,EMP0014,Ressources Humaines,Manager,2025-03,12488,12172,-316
328,EMP0014,Ressources Humaines,Manager,2025-02,12488,13464,976
329,EMP0014,Ressources Humaines,Manager,2025-01,12488,12691,203
330,EMP0014,Ressources Humaines,Manager,2024-12,12488,13138,650
331,EMP0014,Ressources Humaines,Manager,2024-11,12488,13207,719
332,EMP0014,Ressources Humaines,Manager,2024-10,12488,12779,291
333,EMP0014,Ressources Humaines,Manager,2024-09,12488,13547,1059
334,EMP0014,Ressources Humaines,Manager,2024-08,12488,12698,210
335,EMP0014,Ressources Humaines,Manager,2024-07,12488,11968,-520
336,EMP0014,Ressources Humaines,Manager,2024-06,12488,12111,-377
337,EMP0015,Finance & Comptabilité,Technicien,2026-05,5383,5449,66
338,EMP0015,Finance & Comptabilité,Technicien,2026-04,5383,5569,186
339,EMP0015,Finance & Comptabilité,Technicien,2026-03,5383,5565,182
340,EMP0015,Finance & Comptabilité,Technicien,2026-01,5383,5657,274
341,EMP0015,Finance & Comptabilité,Technicien,2026-01,5383,5363,-20
342,EMP0015,Finance & Comptabilité,Technicien,2025-12,5383,5131,-252
343,EMP0015,Finance & Comptabilité,Technicien,2025-11,5383,5319,-64
344,EMP0015,Finance & Comptabilité,Technicien,2025-10,5383,5116,-267
345,EMP0015,Finance & Comptabilité,Technicien,2025-09,5383,5290,-93
346,EMP0015,Finance & Comptabilité,Technicien,2025-08,5383,5173,-210
347,EMP0015,Finance & Comptabilité,Technicien,2025-07,5383,5456,73
348,EMP0015,Finance & Comptabilité,Technicien,2025-06,5383,5679,296
349,EMP0015,Finance & Comptabilité,Technicien,2025-05,5383,5551,168
350,EMP0015,Finance & Comptabilité,Technicien,2025-04,5383,5163,-220
351,EMP0015,Finance & Comptabilité,Technicien,2025-03,5383,5836,453
352,EMP0015,Finance & Comptabilité,Technicien,2025-02,5383,5910,527
353,EMP0015,Finance & Comptabilité,Technicien,2025-01,5383,5495,112
354,EMP0015,Finance & Comptabilité,Technicien,2024-12,5383,5346,-37
355,EMP0015,Finance & Comptabilité,Technicien,2024-11,5383,5259,-124
356,EMP0015,Finance & Comptabilité,Technicien,2024-10,5383,5223,-160
357,EMP0015,Finance & Comptabilité,Technicien,2024-09,5383,5632,249
358,EMP0015,Finance & Comptabilité,Technicien,2024-08,5383,5703,320
359,EMP0015,Finance & Comptabilité,Technicien,2024-07,5383,5892,509
360,EMP0015,Finance & Comptabilité,Technicien,2024-06,5383,5416,33
361,EMP0016,Commercial,Ingénieur,2026-05,9791,10611,820
362,EMP0016,Commercial,Ingénieur,2026-04,9791,9960,169
363,EMP0016,Commercial,Ingénieur,2026-03,9791,10648,857
364,EMP0016,Commercial,Ingénieur,2026-01,9791,9856,65
365,EMP0016,Commercial,Ingénieur,2026-01,9791,9419,-372
366,EMP0016,Commercial,Ingénieur,2025-12,9791,10717,926
367,EMP0016,Commercial,Ingénieur,2025-11,9791,10586,795
368,EMP0016,Commercial,Ingénieur,2025-10,9791,9497,-294
369,EMP0016,Commercial,Ingénieur,2025-09,9791,10565,774
370,EMP0016,Commercial,Ingénieur,2025-08,9791,9476,-315
371,EMP0016,Commercial,Ingénieur,2025-07,9791,10760,969
372,EMP0016,Commercial,Ingénieur,2025-06,9791,9879,88
373,EMP0016,Commercial,Ingénieur,2025-05,9791,9488,-303
374,EMP0016,Commercial,Ingénieur,2025-04,9791,10739,948
375,EMP0016,Commercial,Ingénieur,2025-03,9791,10528,737
376,EMP0016,Commercial,Ingénieur,2025-02,9791,10412,621
377,EMP0016,Commercial,Ingénieur,2025-01,9791,10739,948
378,EMP0016,Commercial,Ingénieur,2024-12,9791,9981,190
379,EMP0016,Commercial,Ingénieur,2024-11,9791,10358,567
380,EMP0016,Commercial,Ingénieur,2024-10,9791,9924,133
381,EMP0016,Commercial,Ingénieur,2024-09,9791,9858,67
382,EMP0016,Commercial,Ingénieur,2024-08,9791,9639,-152
383,EMP0016,Commercial,Ingénieur,2024-07,9791,9978,187
384,EMP0016,Commercial,Ingénieur,2024-06,9791,9529,-262
385,EMP0017,Logistique,Directeur,2026-05,27623,27023,-600
386,EMP0017,Logistique,Directeur,2026-04,27623,29868,2245
387,EMP0017,Logistique,Directeur,2026-03,27623,29414,1791
388,EMP0017,Logistique,Directeur,2026-01,27623,26375,-1248
389,EMP0017,Logistique,Directeur,2026-01,27623,28977,1354
390,EMP0017,Logistique,Directeur,2025-12,27623,28790,1167
391,EMP0017,Logistique,Directeur,2025-11,27623,30121,2498
392,EMP0017,Logistique,Directeur,2025-10,27623,29926,2303
393,EMP0017,Logistique,Directeur,2025-09,27623,27239,-384
394,EMP0017,Logistique,Directeur,2025-08,27623,26521,-1102
395,EMP0017,Logistique,Directeur,2025-07,27623,28703,1080
396,EMP0017,Logistique,Directeur,2025-06,27623,28092,469
397,EMP0017,Logistique,Directeur,2025-05,27623,29026,1403
398,EMP0017,Logistique,Directeur,2025-04,27623,29856,2233
399,EMP0017,Logistique,Directeur,2025-03,27623,27256,-367
400,EMP0017,Logistique,Directeur,2025-02,27623,26425,-1198
401,EMP0017,Logistique,Directeur,2025-01,27623,28061,438
402,EMP0017,Logistique,Directeur,2024-12,27623,28478,855
403,EMP0017,Logistique,Directeur,2024-11,27623,29368,1745
404,EMP0017,Logistique,Directeur,2024-10,27623,29457,1834
405,EMP0017,Logistique,Directeur,2024-09,27623,26822,-801
406,EMP0017,Logistique,Directeur,2024-08,27623,30358,2735
407,EMP0017,Logistique,Directeur,2024-07,27623,27212,-411
